categoria,descricao,ean,preco,titulo,url
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Gourmet Wgf4 Azul Wictory 220V Fogão Gourmet Wgf-4 Azul Wictory 220V - Marca: Wictory - Mesa e painel totalmente em aço inoxidável; - Trempes em ferro fundido esmaltadas. - Botões texturizados na cor preta com marcações de intensidade de chama. - Modelo com 4 queimadores de alta performance, sendo: 1 queimadores dual-chama / 1 queimadores semi-rápido / 2 queimadores rápidos. - Voltagem: M220V; - Método de instalação: piso ou embutido; Forno: Totalmente em aço inoxidável; Gratinador; Iluminação interna; Convecção forçada; Porta com vidro temperado duplo; Controle de temperatura até 250ºC; Forno com isolamento térmico; Resistência Blindada; Capacidade: 51 litros; - Dimensões externas do produto (AxLxP): 89x62x69cm - Dimensões externas da embalagem (AxLxP): 111x76x90cm - Peso líquido: 53kg - Peso embalado: 89kg - Garantia de 12 meses",,"R$ 12.925,44",Fogão Gourmet Wgf4 Azul Wictory,https://www.americanas.com.br/produto/2643066003
/categoria/agro-industria-e-comercio/industria-alimenticia/coccao-industrial/fogao-industrial,"*imagem Ilustrativa Construção Em Aço Inox; Grelhas Em Ferro Fundido Medindo 356 X 295 Mm; Queimadores Em Ferro Fundido, Coroa Em Latão Com 2 Anéis de Chama; Válvulas de Gás Com Ajuste da Graduação de Chama; Bandejas Coletoras de Resíduos Inferior e Superior Em Aço Inox; Forno Em Aço Esmaltado Com Controle de Fogo Alto e Baixo e Segurança Contra Falta de Chama; Painel Frontal Em Aço Inox Com Manípulos Em Baquelite e Com Indicação de Fogo Alto e Baixo; Controle Termostático de Temperatura.",,"R$ 14.523,15",Fogao 4 Bocas Inox C/forno Serie700 Gas Nat Macom,https://www.americanas.com.br/produto/4232689919
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Gourmet Wgf4 Amarelo Wictory 220V Fogão Gourmet Wgf-4 Amarelo Wictory 220V - Marca: Wictory - Mesa e painel totalmente em aço inoxidável; - Trempes em ferro fundido esmaltadas. - Botões texturizados na cor preta com marcações de intensidade de chama. - Modelo com 4 queimadores de alta performance, sendo: 1 queimadores dual-chama / 1 queimadores semi-rápido / 2 queimadores rápidos. - Voltagem: M220V; - Método de instalação: piso ou embutido; Forno: Totalmente em aço inoxidável; Gratinador; Iluminação interna; Convecção forçada; Porta com vidro temperado duplo; Controle de temperatura até 250ºC; Forno com isolamento térmico; Resistência Blindada; Capacidade: 51 litros; - Dimensões externas do produto (AxLxP): 89x62x69cm - Dimensões externas da embalagem (AxLxP): 111x76x90cm - Peso líquido: 53kg - Peso embalado: 89kg - Garantia de 12 meses",,"R$ 12.925,44",Fogão Gourmet Wgf4 Amarelo Wictory,https://www.americanas.com.br/produto/2643404201
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Gourmet Wgf4 Preto Fosco Wictory 220V Fogões Gourmet Wgf-4 Preto Fosco Wictory 220V - Marca: Wictory - Mesa e painel totalmente em aço inoxidável; - Trempes em ferro fundido esmaltadas. - Botões texturizados na cor preta com marcações de intensidade de chama. - Modelo com 4 queimadores de alta performance, sendo: 1 queimadores dual-chama / 1 queimadores semi-rápido / 2 queimadores rápidos. - Voltagem: M220V; - Método de instalação: piso ou embutido; Forno: Totalmente em aço inoxidável; Gratinador; Iluminação interna; Convecção forçada; Porta com vidro temperado duplo; Controle de temperatura até 250ºC; Forno com isolamento térmico; Resistência Blindada; Capacidade: 51 litros; - Dimensões externas do produto (AxLxP): 89x62x69cm - Dimensões externas da embalagem (AxLxP): 111x76x90cm - Peso líquido: 53kg - Peso embalado: 89kg - Garantia de 12 meses",,"R$ 12.925,44",Fogão Gourmet Wgf4 Preto Fosco Wictory,https://www.americanas.com.br/produto/2643420412
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Modelo: BrasilReferência de modelo: ANFGBDPRVMMXTipo de fogão: A Lenha, biomassa, briquetteCor: PretoAcabamento: Pintura para alta temperatura e aço inoxChapa: Vitrocerâmica; 75 x 45 com espessura de 6 mmEstrutura Construtiva: Aço carbono com aço inoxidávelForno: Aço inoxidável com termômetro analógico. Capacidade do forno: 65 litrosQueimador (fornalha): Com tijolos refratáriosSaída da chaminé: Acima do fornoDiâmetro da chaminé: 13 cmDiferenciais do produto: Depósito para lenha; gaveta para cinzas com pintura para alta temperatura; puxadores cromados; regulagem de saída de ar Pés: CromadosPeso: 140 kgComprimento: 75 cmLargura: 146 cmAltura: 118,5 cmDimensão da chapa: Largura: 45 cm; Profundidade: 75 cmDimensão do forno: Largura: 32 cm; Altura: 32 cm; Profundidade: 62cmDimensão do queimador: Largura: 35 cm; Altura: 18 cm; Profundidade: 68cmATENÇÃO: A prime auto não se responsabiliza pela montagem e instalação; Produto não acompanha canos para chaminé. Garantia:1 ano, contra defeitos de fabricação",0700083260338,"R$ 11.999,00",Fogão Brasil Chapa Vitrocerâmica a Lenha - Preto com Inox Saída Direita - Antonow - 101VLD,https://www.americanas.com.br/produto/4776542229
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Baixa PressãoSérie Luxo 40X40Perfil de 6,5cm Indicado para cozinhas de alta produtividade.• Quadro monobloco com as bocas estampadas em uma só chapa, evitando soldas e acumulo de resíduos;• Registro regulador de gás, confeccionado em latão duro niquelado e cromado;• Tubo distribuidor de gás, confeccionado em liga especial de durabilidade polido de 1”;• Queimadores e Grelhas fundidos em alta temperatura, atingindo alto padrão de dureza;• Modulável e Desmontável; Baixa Pressão : é um modelo que utiliza válvulas de gás semelhantes às dos fogões domésticos, o gás sai do botijão, passa por um regulador e então é liberado para o fogão.   M 12  Super  Luxo  40x40  Perfil  6,5 cm  Baixa Pressão Aço 304  c/  Forno ( Linha ) Forno          Aço 304 4 Bocas = 2 queimadores simples 2 queimadores duplos Baixa Pressão Perfil 6,5 1875x590x800 Peso ( Kg ) : 50",,"R$ 10.976,91","Fogão c/ Forno Aço 304 Baixa Pressão Super Luxo 40x40 Perfil 6,5 2QD 2QS Metalmaq",https://www.americanas.com.br/produto/1371555515
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Modelo: Brasil Referência de modelo: 101VLE Tipo de fogão: A Lenha, biomassa, briquette Cor: Preto Esmaltado: Não Material: Estrutura em aço carbono com detalhes em aço inox Acabamento: Pintura para alta temperatura e aço inox Chapa: Vitrocerâmica Estrutura Construtiva: Aço carbono Forno: Com 4 camadas (aço inox duplo e aço carbono duplo) e lã de vidro para isolamento térmico e termostato analógico. Capacidade do forno: 60 litros Porta do forno: Parte externa em aço carbono com pintura dupla de alta temperatura e parte interna em aço inox Queimador (fornalha): Com tijolos refratários, tendo capacidade para 6 toras de 6 x 50 cm (diâmetro x comprimento) ou 3 toras de 10 x 50 cm(diâmetro x comprimento) Porta do Queimador: Aço carbono com pintura para alta temperatura Caldeira: Não possui Estufa: Não possui Porta do ar: Aço carbono com pintura para alta temperatura Registro para regulagem do ar: Sim Saída da chaminé: Acima do forno Diâmetro da chaminé: 13 cm Diferenciais do produto: Depósito para lenha; Gaveta para cinzas com pintura para alta temperatura; Puxadores cromados; Pés: Cromados Peso: 142,00 kg Comprimento: 75 cm Largura: 146 cm Altura: 118,5 cm Dimensão da chapa: Largura: 45 cm; Profundidade: 75 cm Dimensão do forno: Largura: 32 cm; Altura: 32 cm; Profundidade: 62cm Dimensão do queimador: Largura: 35 cm; Altura: 18 cm; Profundidade: 68cm atenção: A antonow não se responsabiliza pela montagem e instalação; Produto não acompanha canos para chaminé. Garantia: 1 ano, contra defeitos de fabricação",,"R$ 12.616,00",Fogão Brasil / Chapa Vitrocerâmica / Preto c/ Inox / Saída Esquerda,https://www.americanas.com.br/produto/4776542106
/categoria/agro-industria-e-comercio/industria-alimenticia/coccao-industrial/fogao-industrial,"Fogao Industrial fgi 48 cd (16110), Marca: g. Paniz, Modelo: fgi 48, Garantia: 06 Meses",7898654582781,"R$ 10.540,25",Fogao indl fgi 4 8 c d (16110),https://www.americanas.com.br/produto/2887765863
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Baixa PressãoSérie Luxo 40X40Perfil de 9 cm Indicado para cozinhas de alta produtividade.• Quadro monobloco com as bocas estampadas em uma só chapa, evitando soldas e acumulo de resíduos;• Registro regulador de gás, confeccionado em latão duro niquelado e cromado;• Tubo distribuidor de gás, confeccionado em liga especial de durabilidade polido de 1”;• Queimadores e Grelhas fundidos em alta temperatura, atingindo alto padrão de dureza;• Modulável e Desmontável;• Fornos com laterais e porta em aço inox; Baixa Pressão : é um modelo que utiliza válvulas de gás semelhantes às dos fogões domésticos, o gás sai do botijão, passa por um regulador e então é liberado para o fogão.  M 12  Super  Luxo  40x40  Perfil  9 cm  Baixa Pressão Aço 304   c/  Forno ( Linha ) Forno          Aço 304 4 Bocas = 2 queimadores simples 2 queimadores duplos Baixa Pressão Perfil 9 2005x655x800 Peso ( Kg ) : 55",,"R$ 12.043,40",Fogão c/ Forno Aço 304 Baixa Pressão Super Luxo 40x40 Perfil 9 2QD 2QS Metalmaq,https://www.americanas.com.br/produto/1371552306
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Range Top Gourmet Wgr-6 Wictory Fogão Range Top Gourmet WGR-6 Wictory - Marca: Wictory - Mesa e painel totalmente em aço inoxidável; - Trempes em ferro fundido esmaltadas. - Botões texturizados na cor preta com marcações de intensidade de chama. - Modelo com 6 queimadores de alta Performance, sendo: 2 queimadores dual-chama / 2 queimadores semi-rápido / 2 queimadores rápidos. - Método de instalação: embutido; - Dimensões externas do produto (AxLxP): 23x90x64cm - Dimensões externas da embalagem (AxLxP): 47x104x85cm - Peso Líquido: 31kg - Peso Embalado: 54kg - Garantia de 12 meses",7898609121133,"R$ 7.943,76",Fogão Range Top Gourmet Wgr-6 Wictory,https://www.americanas.com.br/produto/2643087314
