categoria,descricao,ean,preco,titulo,url,titulo_cb,loja,titulo_pp,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão De Piso Electrolux 76dxv à Gás 5 Queimadores 2 Fornos Prata 110v 33052vba188Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 127V 33052VBA188 O design moderno do fogão com mesa de vidro temperado vai deixar a sua cozinha mais elegante e sofisticada. As grades individuais facilitam a limpeza e deixam o fogão ainda mais bonito. O design full glass espelhado da porta frontal adiciona ainda mais modernidade ao eletrodoméstico. O painel blue touch, com seis funções pré-programadas facilitam o dia a dia e o manuseio desse fogão Elextrolux. Manter aquecido é uma funcionalidade que mantém os alimentos na temperatura ideal até o momento de servir, já o grill doura carnes ou aves e gratina massas deixando suas refeições mais saborosas. O queimador tripla chama acelera o processo de cocção dos alimentos, tornando o preparo mais rápido e eficiente. O acendimento super automático é rápido e seguro, basta você girar o botão, sem a necessidade de apertar qualquer botão de ignição. O vidro triplo da porta isola adequadamente o calor do fogão de piso, melhorando inclusive o tempo de preparo das refeições e evitando acidentes com animais e crianças. A grande opção do mercado só poderia ser Electrolux! fogao de piso com mesa de vidro e timer digital electrolux 76dxv frente Duplo forno elétrico e a gás Permite assar duas receitas ao mesmo tempo. Forno superior elétrico (assa e doura no tempo determinado pelo timer) e forno inferior a gás. Design Full Glass espelhado Frontal total espelhada, mais moderna e sofisticada para a cozinha. porta frontal totalmente espelhada, garantindo mais modernidade e sofisticação para sua cozinha. Você consegue ver o interior do forno com facilidade para acompanhar o andamento das receitas. Queimadores (1) Rápido, (3) Semirrápidos e (1) Tripla-chama Potência garantida, aproveite a cocção mais rápida com nossos queimadores potentes. Grill elétrico Doure ou gratine os alimentos e tenha refeições mais saborosas. Mesa de vidro com painel blue touch Design moderno com acabamento superior. Facilidade de limpeza, superfícies lisas e poucos recortes. / Friendly usability, o painel permite uma interação maior do consumidor com o produto. Além disso, o produto conta com 6 funções pré-programadas que facilitam o seu dia-a-dia. Timer digital Programe o tempo de cocção desejado e ao término do preparo um sinal sonoro para o forno a gás e corta o sistema de alimentação do forno elétrico. Especificações Técnicas Tipo: Piso Acendimento: Gás Dimensões (l x A x p) cm: 76,2 X 97,0 x 68,0 Cor: Prata Marca: Electrolux Peso (kg): 65,0 Classificação Energética: a Garantia de 1 ano: Sim Marca: Electrolux Ref.: 33052VBA188",7909569000502,"R$ 5.719,12",Fogão Electrolux à Gás 5 Queimadores 2 Fornos Prata 110v,https://www.americanas.com.br/produto/2448720524,fogão electrolux à gás 5 queimadores 2 fornos prata 110v,americanas,Fogão Electrolux à Gás 5 Queimadores 2 Fornos Prata 110v,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0027397260273972603
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188 O design moderno do fogão com mesa de vidro temperado vai deixar a sua cozinha mais elegante e sofisticada. As grades individuais facilitam a limpeza e deixam o fogão ainda mais bonito. O design full glass espelhado da porta frontal adiciona ainda mais modernidade ao eletrodoméstico.O painel blue touch, com seis funções pré-programadas facilitam o dia a dia e o manuseio desse Fogão Elextrolux. Manter aquecido é uma funcionalidade que mantém os alimentos na temperatura ideal até o momento de servir, já o grill doura carnes ou aves e gratina massas deixando suas refeições mais saborosas.O queimador tripla chama acelera o processo de cocção dos alimentos, tornando o preparo mais rápido e eficiente. O acendimento super automático é rápido e seguro, basta você girar o botão, sem a necessidade de apertar qualquer botão de ignição.O vidro triplo da porta isola adequadamente o calor do fogão de piso, melhorando inclusive o tempo de preparo das refeições e evitando acidentes com animais e crianças. A grande opção do mercado só poderia ser Electrolux!Duplo forno elétrico e a gás Permite assar duas receitas ao mesmo tempo. Forno superior elétrico (assa e doura no tempo determinado pelo timer) e forno inferior a gás.Design Full Glass espelhado Frontal total espelhada, mais moderna e sofisticada para a cozinha. porta frontal totalmente espelhada, garantindo mais modernidade e sofisticação para sua cozinha. Você consegue ver o interior do forno com facilidade para acompanhar o andamento das receitas.Queimadores (1) Rápido, (3) Semirrápidos e (1) Tripla-chama Potência garantida, aproveite a cocção mais rápida com nossos queimadores potentes.Grill elétrico Doure ou gratine os alimentos e tenha refeições mais saborosas.Mesa de vidro com painel blue touch Design moderno com acabamento superior. Facilidade de limpeza, superfícies lisas e poucos recortes. / Friendly usability, o painel permite uma interação maior do consumidor com o produto. Além disso, o produto conta com 6 funções pré-programadas que facilitam o seu dia-a-dia.Timer digital Programe o tempo de cocção desejado e ao término do preparo um sinal sonoro para o forno a gás e corta o sistema de alimentação do forno elétrico.",7909569000502,"R$ 6.499,00",Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188,https://www.americanas.com.br/produto/2221616941,fogão de piso electrolux 76dxv à gás 5 queimadores 2 fornos prata 110v 33052vba188,americanas,Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0013698630136986301
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Brastemp 5 Queimadores Inox 220v Com o fogão Brastemp 5 bocas é possível garantir o ponto perfeito do interior do seu assado pois conta com o Termometro Meat Control, além disso a Turbo Chama Advanced permite a realização de preparos homogêneos e em potência máxima. Termômetro Meat Control Controle a temperatura interna do seu assado e garanta o ponto perfeito utilizando o Termômetro Meat Control, basta conectá-lo no interior do forno e acionar a função na Interface fulltouch.função Vapor Conserve os nutrientes dos alimentos e potencialize o sabor utilizando a função vapor do forno, para isso basta colocar água no compartimento da mesa e acionar a função na Interface Fulltouch. Turbo Chama Advanced Com a liberação de 4 chamas é possível garantir máxima potência e obter resultados homogêneos. Trempes Individuais de Ferro Fundido Máxima robustez, segurança e facilidade de limpeza. Especificações Técnicas Tipo: Piso Tipo de Aquecimento: Gás Dimensões (l x A x p) cm: 76,4 X 96,5 x 68,6 Peso (kg): 49 Quantidade de queimadores: 5 Cor: Aço Inoxidável Marca: Brastemp Classificação Energética: a Tensão (v): 220 Acendimento: Super Automático Botões Removíveis: Sim Tipo de Gás: glp / gn Grill: Sim Pés Reguláveis: Sim Faixa de temperatura do forno (ºC): Até 220 ºC Timer: Sim Porta Removível: Sim Capacidade do Forno (Litros): 96 Funções: Convecção, Vapor, Termômetro Meat Control, Autodesligamento Iluminação Interna: Sim Relógio: Sim Tipo do Forno: Elétrico Trempes: Individuais em Ferro Fundido Mesa: Compartimentada em Aço Inoxidável Características Adicionais: Potência dos Queimadores: 3350 W (Quadrichama) / 2500 W (Rápidos) / 1800 W (Semi-rápido) / 1200 W (Simmer) Display: Touch Screen Prateleiras: 2 Tampa: Sim Garantia de 1 ano: Sim Marca: Brastemp Ref.: BFS5CCRRNA",7891129264755,"R$ 5.191,12",Fogão Brastemp 5 Queimadores Inox 220v,https://www.americanas.com.br/produto/4278047057,fogão brastemp 5 queimadores inox 220v,americanas,Fogão Brastemp 5 Queimadores Inox 220v,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0013698630136986301
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Brastemp 5 Queimadores Inox 220V BFS5CCRRNA Com o Fogão Brastemp 5 bocas BFS5CCRRNA é possível garantir o ponto perfeito do interior do seu assado pois conta com o Termometro Meat Control, além disso a Turbo Chama Advanced permite a realização de preparos homogêneos e em potência máxima.Termômetro Meat Control Controle a temperatura interna do seu assado e garanta o ponto perfeito utilizando o Termômetro Meat Control, basta conectá-lo no interior do forno e acionar a função na Interface Fulltouch.Função Vapor Conserve os nutrientes dos alimentos e potencialize o sabor utilizando a função vapor do forno, para isso basta colocar água no compartimento da mesa e acionar a função na Interface Fulltouch.Turbo Chama Advanced Com a liberação de 4 chamas é possível garantir máxima potência e obter resultados homogêneos.Trempes Individuais de Ferro Fundido Máxima robustez, segurança e facilidade de limpeza.",7891129264755,"R$ 5.049,00",Fogão Brastemp 5 Queimadores Inox 220V BFS5CCRRNA,https://www.americanas.com.br/produto/2567743243,fogão brastemp 5 queimadores inox 220v bfs5ccrrna,americanas,Fogão Brastemp 5 Queimadores Inox 220V BFS5CCRRNA,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0013698630136986301
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Com o Fogão Brastemp 5 bocas BFS5C é possível garantir o ponto perfeito do interior do seu assado pois conta com o Termometro Meat Control, além disso a Turbo Chama Advanced permite a realização de preparos homogênos e em potência máxima.",7891129264755,"R$ 4.922,10",Fogão Brastemp 5 Bocas Cor Inox Forno Elétrico Com Convecção E Meat Control - BFS5CCR,https://www.americanas.com.br/produto/33023040,fogão brastemp 5 bocas cor inox forno elétrico com convecção e meat control - bfs5ccr,americanas,Fogão Brastemp 5 Bocas Cor Inox Forno Elétrico Com Convecção E Meat Control  BFS5CCR,0,0,0,0,0,0.0,1,2,0.04,45,0.022222222222222223,0.06164383561643835
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Informações técnicasAcabamento LateralSilverAcendimento AutomáticoSimAltura96 cmAltura do produto96 cmAltura do produto embalado98,5 cmBandeja Coletora de resíduosNãoBotões RemovíveisSimCapacidade do Forno (l)38,8Capacidade do Forno Inferior (l)94,5Classificação EnergéticaAConsumo0,132 (kg/h)Conteúdo da Embalagem1 Fogão, 1 Manual, etiquetas (não acompanha lâmpada)CorPrata/InoxCorrente (a)0,20/0,11Dimensões (AxLxP)98,5 x 79,5 x 72 cmDimensões Embalado (AxLxP)96 x 77 x 69 cmDimensões produto embalado (AxLxP)98,5 x 79,5 x 72 cmDuplo fornoSimForno AutolimpanteNãoFunção GrillNãoGrades da MesaDuplasInstalaçãoPisoLâmpadaNão Acompanha LâmpadaLargura77 cmLargura do produto77 cmLargura do produto embalado 79,5 cmLinha de fogãoExpertMaterial dos PuxadoresAlumínioMesa de VidroNãoModelo76DXAPés ReguláveisSimPeso53,5 KgPeso Bruto56 KgPeso do produto53,5 kgPotência dos Queimadores (Bocas)Rápidos: 2700 W / Semirrápidos: 1850 wPotência Elétrica Máxima (w)1750Potência Lâmpada (w)25Prateleiras do FornoDuplas e deslizantesProfundidade69 cmProfundidade do produto69 cmProfundidade do produto embalado72 cmProteção Térmica TraseiraSimQuantidade de bocas (queimadores)5Quantidade de Queimadores (bocas)5 bocasQueimador (Boca) Rápido2Queimador (Boca) Semi Rápido2QueimadoresRápidos: 2700 W / Semirrápidos: 1850 wRelógioSimSistemaá gásSistema Bloqueia GásSimTampa de Fogão RemovívelNãoTampa do Fogão removívelNãoTemperatura do Forno160-280°CTensãoBivoltTimerSimTipoPiso 5 bocasTipo de GásGLPTrava de SegurançaNãoTripla ChamaSimVidro Interno do Forno RemovívelSimVoltagemBivolt",7909569000465,"R$ 5.600,00",Fogão 5 Bocas Electrolux Prata Automático com 2 Fornos e Tripla Chama (76DXA),https://www.americanas.com.br/produto/4529900130,fogão 5 bocas electrolux prata automático com 2 fornos e tripla chama (76dxa),americanas,Fogão 5 Bocas Electrolux Prata Automático com 2 Fornos e Tripla Chama 76DXA,0,0,0,0,0,0.0,0,0,0.0,93,0.010752688172043012,0.1273972602739726
/categoria/eletrodomesticos/fogao/fogao-de-piso,"O novo fogão Piacere Vetro 5 bocas oferece elegância, desempenho e segurança para sua cozinha. A mesa de vidro temperado com grades de ferro fundido trazem modernidade e segurança ao cozinhar. Com acendimento automático e diferentes tipos de queimadores, ainda possui um queimador central de tripla chama onde você prepara rapidamente os mais variados pratos. O forno com acabamento total clean ainda possui duas grades com alturas ajustáveis.características geraisModelo: PiacereTipo: Fogão de pisoQuantidade de bocas: 5 bocasAcendimento: AutomáticoMaterial da mesa: Vidro temperadoFuncionamento: glp - A conversão para gn precisa ser adaptada, conforme consta no manual do produtoTipo de queimadores: Tripla chama, família, rápido e semi-rápidoMaterial das trempes: Ferro fundidoMinípulos removíveis: SimTampa de vidro: NãoCapacidade do forno: 81,6 litrosPrateleiras do forno: 02 prateleiras ajustáveisLuz no forno: SimForno autolimpante: NãoAcabamento do forno: Total CleanTimer: NãoGrill: NãoRelógio: NãoTermostato: NãoBandeja coletora de resíduos: NãoForno duplo: NãoVálvula de segurança no forno: NãoSistema corta gás: NãoPés: SimEficiência energética: APotência dos queimadores: Tripla chama: 3,7 kW / Família 2,0 kW / Rápido: 1,7 kW / Semi-rápido: 1,2 kWConsumo: 0,135 kg/hFrequência: 60 HzGarantia: 12 meses dimensões FORNOAltura: 30,5 cmLargura: 64,58 cmProfundidade: 41,5 cmPRODUTO montado Altura: 91 cmLargura: 75 cmProfundidade: 62 cmPeso: 32,2 kgEMBALAGEMAltura: 93,5 cmLargura: 78 cmProfundidade: 64 cmPeso: 35 kg",7908156901710,"R$ 2.815,20",Fogao 5B mueller piacere vetro mesa vidro - 60.1230.007,https://www.americanas.com.br/produto/4409497446,fogao 5b mueller piacere vetro mesa vidro - 60.1230.007,americanas,Fogao 5B mueller piacere vetro mesa vidro  601230007,0,0,0,0,0,0.0,1,3,0.06,20,0.05,0.0273972602739726
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão Consul Piso 5 Bocas Titanium Mesa de Vidro Bivolt CFS5VATA Consul está trazendo o fogão que vai facilitar sua vida e embelezar sua cozinha. O Fogão Titanium 5 Bocas da Consul tem um design diferenciado, com uma frente única e mesa de vidro com grades de ferro fundido. Ele conta com dupla chama, tornando o preparo das suas receitas mais rápido. Para lhe proporcionar mais conforto, o fogão possui timer com alerta sonoro, ou seja, você fica muito mais livre para fazer outras coisas enquanto sua comida fica pronta, pois quando o tempo do timer finalizar você ouvirá o alerta sonoro. Sua mesa é de vidro temperado, e suas grades são de Ferro Fundido, sendo ideais para aguentar os preparos do dia a dia e ainda facilitando a limpeza do fogão. Possui dupla chama, liberando chama em dois pontos do queimador, possibilitando assim maior agilidade no preparo das receitas. Ainda pensando em facilitar na hora da limpeza, possui Forno Limpa + Fácil, junção da tecnologia Cleartec e do vidro interno vedado, que evita o acúmulo de gordura e deixa tudo mais fácil para limpar. E para ajudar, seus manípulos removíveis garantem uma maior facilidade de limpeza. Seus pés frontais são de fácil instalação, em dois cliques você posiciona os pés no fogão. Os pés traseiros são rosqueados, possibilitando uma regulagem para ajudar na estabilidade do fogão. E para completar, possui Acendimento Automático, trazendo mais facilidade na hora do preparo. Especificações Técnicas: - Marca: Consul - Modelo: CFS5VAT - Voltagem: Bivolt - Quantidade de queimadores: 5 - Cor Principal (Visão Frontal): Titanium - Tipo de Produto: Piso - Funcionamento: Gás - Acendimento: Automático - Painel de Controle: Mecânico - Acabamento da Mesa: Vidro - Porta Removível: Não - Duplo Forno: Não - Timer: Touch - Plugue e Tomada: 10 a - Pré-aquecimento Rápido: Não - Teclas Touch: Sim - Display: Led - Receitas Pré-programadas: Não - Timer com Desligamento Automático: Não - Válvula Corta-gás: Sim - Trava de Segurança: Não - Termostato: Não - Temperatura Mínima (°C): 160 - Temperatura Máxima (°C): 280 - Tipo de Gás: glp/gn - Tipo de Trempe: Individual - Botão Removível: Sim - Tipo Queimador 1: Queimador Semirrápido - Potência Queimador 1 (w): 1800 - Tipo Queimador 2: Queimador Rápido - Temperatura Mínima (°C): 160 - Temperatura Máxima (°C): 280 - Termostato: não - Convecção: Não - Classificação Energética: a - Dimensões do Produto (LxAxP): 76,6 x 94,8 x 63,5 cm - Peso Líquido: 39kg - Garantia: 12 Meses",7891129246645,"R$ 2.454,78",Fogão Consul Piso 5 Bocas Titanium Mesa de Vidro Bivolt CFS5VAT,https://www.americanas.com.br/produto/4885292281,fogão consul piso 5 bocas titanium mesa de vidro bivolt cfs5vat,americanas,Fogão Consul Piso 5 Bocas Titanium Mesa de Vidro Bivolt CFS5VAT,0,0,0,0,0,0.0,0,0,0.0,58,0.017241379310344827,0.07945205479452055
/categoria/eletrodomesticos/fogao/fogao-de-piso,Características do produto: Tipo de Fogão: Piso Quantidade de Bocas: 5 Quantidade de Fornos: 1 Acendimento Automático: Sim Chama Especial: Não Altura (cm): 94.8 cm Largura: (Cm): 76.6 cm Profundidade (cm): 63.5 cm Informações adicionais do produto: Código do modelo: Cfs5var Categoria: Fogão Cor principal (visão frontal): Inox Funcionamento: Gás Painel de controle: Mecânico Acendimento: Automático Modo de instalação: Voltagem: Bivolt Plugue e tomada: 10 a Principais diferenciais: Mesa de vidro temperado Grades de ferro fundido Forno limpa + fácil União da cavidade cleartec + vidro interno vedado. Diferenciais do produto Gaxeta integral prateleira deslizante Ajustável Manípulos removíveis Funcionalidades: Válvula corta-gás: Sim Temperatura mínima (°c): 160 Temperatura máxima (°c): 280 Especificações do gás: Tipo de gás: gl/gnp (Para mais informações consulte o manual do fornecedor) Especificações da mesa: Tipo de trempe: Individual Botão removível Tipo queimador: 2 Queimadores rápidos Potência queimador: 1800W 3 Queimadores semi - rápido Potência queimador: 2500W Especificações do forno: Temperatura mínima (°c): 160 Temperatura máxima (°c): 280 Teconologia de limpeza: Cleartec Capacidade forno a gás (litros): 96 Lâmpada interna Especificações das prateleiras: Quantidade: 2 Quantidade ajustáveis: 1 Quantidade removíveis: 1 Quantidade deslizantes: 1 Especificações da porta: Quantidade de vidros 2 Vidro interno vedado Classificação energética: a Dimensões e peso (sem embalagem): Largura (cm): 76.6 Peso líquido (kg): 39 Altura (cm): 94.8 Profundidade (cm): 63.5 Peso: 39kg Dimensões e peso (com embalagem): Largura (cm): 79.5 Altura (cm): 99 Profundidade (cm): 72 Peso bruto (kg): 43.5 Garantia: 1 Ano ( ofertada pelo fabricante) sac - Fornecedor Consul 3003 0777 Capitais e regiões metropolitanas 0800 970 0777 Demais localidades,7891129249608,"R$ 1.759,12","Fogão de Piso Consul 5 Bocas CFS5VARUNA, Mesa de Vidro, Acendimento Automático, Inox, Bivolt",https://www.americanas.com.br/produto/4734556817,"fogão de piso consul 5 bocas cfs5varuna, mesa de vidro, acendimento automático, inox, bivolt",americanas,Fogão de Piso Consul 5 Bocas CFS5VARUNA Mesa de Vidro Acendimento Automático Inox Bivolt,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0013698630136986301
/categoria/eletrodomesticos/fogao/fogao-de-piso,"Fogão 5 bocas Fratello Vetro Branco - Mueller O Novo Fogão Fratello Vetro Branco traz os diferenciais que só os fogões Mueller com mesa de vidro têm. Acabamento Bordtec na mesa, grades individuais com 6 pontos de apoio e o sistema exclusivo de encaixe das grades. Conta ainda com um queimador central Ultra Chama que agiliza o preparo de suas receitas. Tem ainda acendimento automático total dos queimadores da mesa e do forno e painel inclinado, que oferece mais conforto no manuseio dos botões. Além disso, o Fogão Fratello Vetro possui um visor panorâmico para que você tenha a melhor visualização de suas receitas. O forno tem interior Total Clean, uma tecnologia que facilita a limpeza. Marca: Mueller Modelo: Fratello Vetro 5 Bocas Referência: 60 1230 014 Dimensões externas (cm): A:87 x L:75 x P:55 Dimensões da embalagem (cm): A:88,5 x L:76 x P:56 Tipo de Gás: glp (Conversível para gn) Peso do produto: 25,8 Kg Peso do produto embalado: 28,8 Kg Cor: Branco Acabamento do interior do forno: Total Clean Capacidade do forno: 81,6 litros Dimensões internas do forno (cm): A:30,5 x L:64 x P:41 Tipo de acendimento: Acendimento automático total, na mesa e no forno 01 queimador Ultra Chama: 3700 watts de potência 02 queimadores Família: 2000 watts de potência 02 queimadores Médios: 1700 watts de potência Potência do queimador do forno: 2600 watts de potência Classificação e Eficiência Energética: A na mesa e no forno Tensão: Bivolt Garantia: 01 ano (3 meses de garantia legal e mais 9 meses de garantia especial concedida pela Mueller) sac: 0800 47 1692 Link do manual: Clique aqui para baixar Conteúdo da embalagem: 01 Fogão 5 bocas, 01 manual Atenção: Não nos responsabilizamos, no ato da entrega, por desmontagens, subir escadas/elevadores ou transporte por guincho para apartamentos. Eventuais despesas são de responsabilidade do cliente. Confira as dimensões deste produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua moradia. - Estas imagens são meramente ilustrativas, portanto os objetos de cena e decoração não acompanham o produto. - As cores dos objetos também podem sofrer alterações por conta das configurações de sua tela ou até mesmo a percepção do usuário.",7908156900416,"R$ 1.002,32",Fogão 5 Bocas Fratello Vetro Mueller Branco,https://www.americanas.com.br/produto/80925862,fogão 5 bocas fratello vetro mueller branco,americanas,Fogão 5 Bocas Fratello Vetro Mueller Branco,0,0,0,1,2,0.2,1,6,0.12,2,0.5,0.0027397260273972603
