descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Com a Tela Full HD 43V35KB de 43 polegadas Toshiba, você terá realidade além dos pixels! Com nosso processador Quad-Core, a abertura de apps e comandos será muito mais rápido que em outras telas. O sistema operacional VIDAA é fluído, amigável e customizável, uma das mais rápidas do mercado e com muitos conteúdos para desfrutar. Vivencie uma experiência sem igual de imersão em som, com a Dolby Audio. Acompanha um controle remoto completo, tenha tudo o que precisa em suas mãos com botões Netflix, Youtube, Amazon Prime, entre outros que vão garantir uma experiência única e fácil. Estabeleça regras digitais e controle os conteúdos impróprios de acordo com a faixa desejada através da função de controle parental. E ainda conta com o Modo Arte, em apenas um toque no botão do controle remoto sua tela se torna uma obra de arte! Com bordas infinitas. Acompanha acessório conversor de canais de tv digital externo (DTV). Imagens meramente ilustrativas.",7908414421127,Tela Toshiba 43 Pol. 43v35kb Dled Fhd Smart Vidaa – TB008,https://www.amazon.com.br/TOSHIBA-Tela-43V35KB-Smart-Vidaa/dp/B09HSKPMC3,tela toshiba 43 pol. 43v35kb dled fhd smart vidaa – tb008,amazon,"Com a Tela 43 Polegadas HD Smart Toshiba, você terá realidade além dos pixels! O sistema operacional vidaa é fluído, amigável e customizável, uma das mais rápidas do mercado e com muitos conteúdos para desfrutar. Vivencie uma experiência sem igual de imersão em som, com a Dolby Audio. Acompanha um controle remoto completo, tenha tudo o que precisa em suas mãos com botões Netflix, Youtube, Amazon Prime, entre outros que vão garantir uma experiência única e fácil. Estabeleça regras digitais e controle os conteúdos impróprios de acordo com a faixa desejada através da função de controle parental na sua Tela TB008 43 Polegadas HD Smart Toshiba. Atenção: as imagens são meramente ilustrativas. A Cybelar não se responsabiliza pela montagem, reparos ou instalação dos produtos.Marca: Toshiba Polegadas "": 43 Taxa de Atualização Frequência Hz: 60 Brilho cd/m: 189 Profundidade cm: 83 Vida útil: Indeterminado Espelhamento do smartphone: Sim Ângulo de visão º: h: 178 v: 178 Largura cm: 108 Modelo detalhado: Tela Smart Toshiba 43"" TB008 Modelo: TB008 43"" Portas hdmi: sim Smart tv: Sim Tempo de resposta ms: 8 Portas usb: sim Contraste dinâmico: 3000:1 Wi-fi: Sim Certificações: Anatel: 02875-21-11928 - Inmetro: 008968/2019 Memória ram: 1,5 Fabricante: Multilaser Resolução: 1920 X 1080 (hd) Peso kg: 8,7 Tipo: Smart Garantia (meses): 12 Conteúdo da embalagem: 01 Tela Smart Sistema Operacional: vidaa Memória Interna - hdd: 4 Bluetooth: Sim Processador: Quadcore Linha: Telas Toshiba é kit: Não Altura cm: 55 Condição do item: NovoTrocas e devoluções serão válidas apenas para produtos que apresentarem problemas de fabricação. O prazo para solicitações é de até 07 dias após a entrega. Fotos ilustrativas. Produtos Novos com garantia e nota fiscal. Fotos ilustrativas. As escalas de redução não são proporcionais. Os objetos de decoração que aparecem nos produtos em oferta, não estão incluídos nos preços dos mesmos. Reservamos o direito de corrigirmos erros gráficos.",7908414421127,Tela Smart Toshiba 43 dled Full HD hdmi USB Bluetooth Wi-fi Bivolt,https://www.americanas.com.br/produto/4796777615,tela smart toshiba 43 dled full hd hdmi usb bluetooth wi-fi bivolt,americanas,tvs,1
"Fast Smart Tv Philco 50 Polegadas Ultra Hd Roku 4k Preto Bvolt A melhor fonte de entretenimento para sua sala é com a Fast Smart TV Philco 50 PTV50RCG70BL Roku TV 4K! Ela possui o sistema de busca de inteligente Roku tv. A Roku TV acessa a milhares de filmes e séries de TV dos principais canais gratuitos e pagos, para que você possa assistir ao que ama. São 50 polegadas em resolução Ultra HD para você sentir o cinema no conforto da sua casa. Ela tem 4K de alta definição e tecnologia HDR10, que incorpora um expressivo ganho em contraste de tons claros e escuros, além de uma extrema nitidez na imagem. Ouça com máxima qualidade com Dolby Áudio. A transmissão do som é reproduzido em 5.1 canais, garantindo máxima imersão no seu filme ou série favorito. Nela você acessa seus aplicativos favoritos com alta performance e velocidade, pois possui processador quad Core e processador gráfico triple Core. As entradas de conexão para cabo hdmi, usb, permitem a conexão do seu dispositivo favorito para a reprodução de alta qualidade das suas imagens e arquivos digitais, através do seu pen-drive ou HD externo. Você vai se apaixonar pela tecnologia e inovação que ela oferece, além disso, seu design elegante vai deixar o ambiente mais moderno, destacando-se não só pela qualidade de imagem, mas também pelo Visual. Para espelhar seus aplicativos entre dispositivo móvel e seu televisor basta utilizar o Midia Cast. Modelo: PTV50RCG70BL tv Backlight d-led 50 Resolução: uhd (3840 X 2160) Tempo de resposta: 8,0 ms Ângulo de Visão: 170(H) x 170(V) Brilho: 250 cd/m Contraste dinâmico: 6.000.000:1 Frequência da Tela: 60Hz Potência do Alto-Falante: 12 Wrms x 2, total de 24 Wrms Formato da Tela: 16:9 Sistema de cores: pal-m, pal-n, ntsc Furação Vesa: 200x200mm wifi dual band Dolby Audio HDR10 Conexões: Entrada de vídeo e áudio estéreo (rca) 3 entradas hdmi e 1 entrada hdmi (arc), total de 4 entradas Entrada rf para TV aberta (Digital e Analógica) e TV à cabo 2 entradas USB 2.0: reproduz filmes, músicas e fotos 1 entrada s/pdif out Optical 1 entrada Ethernet 1 entrada P2: para periféricos de áudio Menu nos idiomas Português e Inglês Busca automática de canais Recepção em atv, dtv e catv Conversor digital integrado Equalizadores de som e imagem predefinidos Ajustes de temperatura de cor Nivelador automático de volume sdr para hdr: corrige imagem para melhor performance Recursos: mute mts sleep app store hdr closed caption dnr guide info bloqueio de canal relógio zoom pvr hdmi arc t-link (hdmi-cec). Dimensões: Altura: 42,4 cm Largura: 72 cm Profundidade: 8,2 cm Peso: 3,9 kg Garantia: 12 mesesCor: Cor Voltagem: Voltagem",7891356090912,Fast Smart Tv Philco 50'' Ultra Hd Roku 4k Preto Bivolt,https://www.americanas.com.br/produto/4903299162,fast smart tv philco 50'' ultra hd roku 4k preto bivolt,americanas,Recurso: ,7462846699276,"Máquina de lixar, KP-655A Máquina de lixar 5in Máquina de lixar pneumática máquina de lixa para entusiastas de bricolage. para Trabalhador",https://www.amazon.com.br/M%C3%A1quina-pneum%C3%A1tica-entusiastas-bricolage-Trabalhador/dp/B09T71NNL2,"máquina de lixar, kp-655a máquina de lixar 5in máquina de lixar pneumática máquina de lixa para entusiastas de bricolage. para trabalhador",amazon,tvs,0
"Conte com uma tela de 43'' HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível. Tela 43"" Multilaser HD. Com a função DNR, possui Granulação reduzida, com imagens mais claras e nítidas, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e acompanhe seus seriados e veja os melhores filmes. Aproveite diversos conteúdos, você também consegue reproduzir conteúdo direto do seu Pen Drive. Possui 3 entradas de HDMI, 2 entrada USB, 2 entradas RJ45, 1 entrada AV e sua alimentação é (Bivolt) 100-220V 60Hz. Imagens Meramente Ilustrativas.",7898149189310,"Tela 43"" FHD com Função Smart e Wi-Fi Integrado - Multilaser, TL027",https://www.amazon.com.br/Tela-Fun%C3%A7%C3%A3o-Smart-Wi-Fi-Integrado/dp/B08TT18KTW,"tela 43"" fhd com função smart e wi-fi integrado - multilaser, tl027",amazon,"Conte com uma tela de 39 HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. A tela 39'' Multilaser hd, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e veja os melhores filmes. Possui 2 entradas de hdmi, entrada av e sua alimentação é bivolt. Além de todas essas vantagens, ela acompanha um conversor digital externo::Especificações técnicas Marca: Multilaser Modelo: TL028 Tela: - Resolução da tela: HD 1366x768 - Contraste: 3000:01 - Brilho: 220cd/m² - Tempo de Resposta: 8ms - Smart: Não - Espelhamento de Tela: Não Conversor: - Externo Conexões: - Porta usb: 1 - hdmi: 2 - wifi: Não - lan: Não Energia: - Consumo Stand by: <0.5W Peso (aproximado): - 7kg",7908414405271,TV 39 Multilaser TL028 - HD - hdmi / USB,https://www.americanas.com.br/produto/4797684197,tv 39 multilaser tl028 - hd - hdmi / usb,americanas,tvs,0
"Tenha funcionalidade e estilo com a Smart TV LED 39¿ PTV39E60SN HD com Conversor Digital Integrado 2 HDMI 1 USB . Smart TV Philco com tela de 39 polegadas em resolução HD, Netflix, som Surround, que recria um ambiente mais realista de áudio, aumentando a qualidade sonora e receptor de TV digital. Imagens meramente ilustrativas. Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",7899466433605,Smart TV LED 39'' PHILCO PTV39E60SN HD com Conversor Digital Integrado 2 HDMI 1 USB,https://www.americanas.com.br/produto/134571706,smart tv led 39'' philco ptv39e60sn hd com conversor digital integrado 2 hdmi 1 usb,americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7893299916960,"Smart TV OLED 83"" LG OLED83C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa",https://www.americanas.com.br/produto/3849625667,"smart tv oled 83"" lg oled83c1 4k 120hz g-sync freesync 4x hdmi 2.1 inteligência artificial thinq google alexa",americanas,tvs,0
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7893299911781,Smart TV Oled 65'' LG OLED65B9 HDR Ativo com Dolby Vision e Dolby Atmos 4 HDMI 3 USB Wi-Fi com Inteligência Artificial Controle Smart Magic,https://www.americanas.com.br/produto/134450904,smart tv oled 65'' lg oled65b9 hdr ativo com dolby vision e dolby atmos 4 hdmi 3 usb wi-fi com inteligência artificial controle smart magic,americanas,"Smart Tv Semp Tcl Uhd 4k 55 Polegadas Quantum Dot Built-in Wifi Bluetooth 3 Hdmi 2 Usb Tb001 Preto Bivolt Com a Smart TV 4K Quantum Dot M550 de 55 polegadas Semp tcl, você terá realidade além dos pixels! Sua tecnologia permite a reprodução de mais de um bilhão de tons de cores e precisão muito superior às TVs LED convencionais. Com nosso processador Quad-Core, a abertura de apps e comandos será muito mais rápido que em outras telas. O sistema operacional vidaa é fluído, amigável e customizável, uma das mais rápidas do mercado e com muitos conteúdos para desfrutar. Vivencie uma experiência sem igual de imersão em som, com a Dolby Atmos Experience. Acompanha um controle remoto completo, tenha tudo o que precisa em suas mãos com botões, entre outros que vão garantir uma experiência única e fácil. Estabeleça regras digitais e controle os conteúdos impróprios de acordo com a faixa desejada através da função de controle parental. E ainda conta com o Modo Arte, em apenas um toque no botão do controle remoto sua tela se torna uma obra de arte! Com bordas infinitas. Acompanha acessórios, conversor de canais de tv digital (dtv). Características: Marca: Semp Toshiba Ângulo de visualização (graus): h: 178 v: 178 Aplicativos pré instalados: Kids, Lojas de App Banda: Wi-Fi: 2.4/5GHZ Bluetooth: 5.0 Brilho (CD/M²): Comando de voz: Sim Consumo stand-by: 0.5W Contraste nativo: 4000:1 Dimensão vesa: 300200MM dlna: Sim Entradas: 1 isdbt/ntsc, 1 av Input compartilhada com componente, 2 USB 2.0, 1 saída de áudio digital (spdif), 1 saída P2, 3 entradas hdmi (tipo 2.0 hdcp 2.2), 1 RJ45 Espelhamento de tela: Sim Frequência (hz): 50-60 Memória de armazenamento: emmc: 4G Memória de processamento: ddr: 1.5G Processador: Quad-Core Resolução: 3840 x 2160 (uhd 4K) Sistema operacional: vidaa Tamanho de tela (cm): 139 Tamanho de tela (pol. ): 55 Tecnologia do painel: Dled Quantun Dot Tempo de resposta do painel (ms): 8 Streaming uhd (4K): Sim Wi-Fi integrado: Sim Wi-Fi ieee 802.11: a/b/g/n/ac Canal áudio de retorno: Sim (HDMI1) cec via hdmi: HDMI1, HDMI2, HDMI3 Dimensões do Produto: Altura: 71 cm Largura: 123 cm Profundidade: 8 cm Peso: 17,7 Garantia do Fornecedor: 12 meses Cor: Preto Voltagem: Bivolt n/a",7908414412934,Smart Tv Uhd 4k 55 Wifi Preto Bivolt,https://www.americanas.com.br/produto/4375961342,smart tv uhd 4k 55 wifi preto bivolt,americanas,tvs,0
TV 43 smart google philco,7891356090561,TV 43 smart google philco,https://www.americanas.com.br/produto/2833464660,tv 43 smart google philco,americanas,"Muita interatividade com a Fast Smart TV Philco 43 PTV43AGCG70BLF LED com Inteligência Artificial Google Assistente. Maior interação com a TV através de comandos de voz. Conecte a internet diretamente sem a necessidade de cabos, além de possibilitar abrir os app's da TV através do comando de voz do seu controle remoto. Com uma cpu Quad Core e uma gpu Triple Core a Fast Smart Android TV responde muito mais rápido aos comandos e oferece muito mais qualidade de imagem e cores. Assista seus programas preferidos com GloboPlay e Youtube previamente instalados. tecnologia ao seu alcance trazendo interatividade e conforto para você!tv Backlight d-led 43"" Resolução: Full HD (1920 X 1080) Tempo de resposta: 6,5 ms Ângulo de Visão: 178°(H) x 178°(V) Brilho: 265 cd/m² Contraste dinâmico: 4.000.000:1 Frequência da Tela: 60Hz Potência do Alto-Falante: 10Wrms x 2 Formato da Tela: 16:9 Sistema de cores: pal-m, pal-n, ntsc Furação Vesa: 200x200mm wifi e Bluetooth integrado Dolby Audio Cor: PretoCONEXÕES: Entrada de vídeo e áudio estéreo (rca) 2 entrada hdmi 2.0 e 1 entrada hdmi 2.0 (ARC)², total de 3 entradas Entrada rf para TV aberta (Digital e Analógica) e TV à cabo 2 entradas USB 2.0: reproduz filmes, músicas e fotos 1 entrada s/pdif out Optical 1 entrada Ethernet 1 entrada P2: Para periféricos de áudioMenu nos idiomas Português e Inglês Busca automática de canais Recepção em atv, dtv e catv Conversor digital integrado Equalizadores de som e imagem predefinidos Ajustes de temperatura de cor Nivelador automático de volume Recursos: mute MTS¹ sleep browser app store closed caption dnr GUIDE¹ INFO¹ bloqueio de canal relógio zoom PVR¹ hdmi ARC² T-LINK² (hdmi-cec).1- Disponível apenas para transmissões em isdb-t (tv Digital). 2- O dispositivo conectado deve ser compatível com a função. Recurso talvez não funcione com dispositivos de algumas marcas.",7891356090561,Smart TV Philco 43 PTV43AGCG70BLF LED Android,https://www.americanas.com.br/produto/2826794071,smart tv philco 43 ptv43agcg70blf led android,americanas,tvs,1
"Modelo: QN60Q65BAGXZD Tecnologia de Pontos Quânticos10 anos de garantia contra Burn inSom em Movimento Desfrute o máximo da qualidade de imagem em 4K, com 1 bilhão de cores vibrantes por muito mais tempo. Surpreenda os seus adversários dominando a partida em uma TV que proporciona mais fluidez a cada cena. A experiência do som 3D permitirá que você fique totalmente imerso no áudio dos seus filmes e séries, como se estivesse no meio da ação. Experimente uma imersão incrível nos seus programas favoritos com uma TV superfina de apenas 2,5cm de espessura e sem bordas aparentes. Com o novo Smart Hub você gasta menos tempo pesquisando e mais tempo assistindo a programas que você gosta, graças à experiência otimizada de pesquisa, que sugere conteúdos com base em como você usa sua tv. Tecnologia para oferecer um novo nível de entretenimento em tv. Tenha a melhor visualização do seu game com opções de formato de tela de 21:9 ou 32:9, além de um menu intuitivo para você consultar o input lag, fps, hdr e outras informações importantes com rapidez e realizar ajustes que fazem a diferença na partida. O som da soundbar é somado aos alto-falantes da TV e, diferente das TVs convencionais, ambos trabalham em conjunto para uma experiência sonora única e incomparável. A TV identifica o som e o aprimora de acordo com cada cena do seu conteúdo. Assim você percebe com mais clareza as vozes da cena, até se o volume da TV estiver baixo. Um controle remoto moderno e ecológico, feito de quase um terço de plástico reciclável e que é recarregável por energia solar, pela própria luz ambiente da sua casa ou por usb, evitando o desperdício de milhões de pilhas aaa ao longo dos anos. Controle e monitore toda a sua casa. Acesse o aplicativo SmartThings e transforme sua TV na central de automação controlando os demais aparelhos inteligentes da Samsung ou criando programações de acordo com a sua rotina. Além disso, aparelhos mais antigos, como seu ventilador com controle remoto, são detectados automaticamente e controlados pela tv. Com a TV Samsung, você aproveita não apenas a melhor qualidade de imagem, mas também curte, no conforto da sua casa, diferentes atividades, como acesso a canais gratuitos, videoconferências na tela grande, acesso remoto ao seu pc e conectividade entre aparelhos, além de também poder dividir a tela ao meio com dois conteúdos diferentes. Aproveite! Desfrute de conteúdo de TV gratuito. Escolha entre uma variedade de canais que oferecem conteúdo para todos os interesses. Sem assinatura e sem dispositivos extras. Divida a tela da TV ao meio, o conteúdo a que você está assistindo de um lado e a tela espelhada do seu smartphone do outro. Acesse vídeos, verifique estatísticas de esportes e muito mais, enquanto assiste ao seu programa ou jogo favorito. Controle sua TV por voz em português: acesse apps, mude de canal ou altere o volume. A TV traz Bixby, Alexa e Google Assistant integrados para você escolher o seu serviço de voz preferido. Encoste seu smartphone na TV e veja o conteúdo do seu celular automaticamente espelhado na tela grande para compartilhamento de fotos, vídeos e apresentações. Aquela confusão de controles no seu ambiente acabou. O exclusivo Controle Remoto Único reconhece todos os aparelhos compatíveis conectados à TV e passa a controlá-los também. Estamos intensificando nosso compromisso com a sustentabilidade com nossas novas embalagens ecológicas.",7892509122467,"Smart TV Samsung 60 qled 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela",https://www.americanas.com.br/produto/5130501920,"smart tv samsung 60 qled 4k q65b 2022 design air slim, processador quantum lite, multitela",americanas,"A Smart TV Philco 50 PTV50G70SBL, da Nova Geração de Tvs Philco, tem qualidade 4K Real que realça as cores em sua plenitude, sem pontos brancos, e com seu navegador Smart você acessa conteúdos e aplicativos para assistir suas séries preferidas no conforto do seu sofá. netflix e Globo Play instalados proporcionando diversão para toda família. Veja novelas, filmes nacionais, séries e grandes clássicos a qualquer hora. Smart, com dispositivo wireless integrado, garante interatividade em um só click. O processador Quad Core e gráfico, isso significa maior velocidade para conteúdos e gráficos mais complexos. Não é só uma televisão, é mais tecnologia na sua casa! tv Backlight d-led 50"" Resolução: uhd (3840 X 2160) Tempo de resposta: 9,5 ms Ângulo de Visão: 170°(H) x 170°(V) Brilho: 243 cd/m2 Contraste dinâmico: 5.000.000:1 Frequência da Tela: 60Hz Potência do Alto-Falante: 12Wrms x 2 Formato da Tela: 16:9 Sistema de cores: pal-m, pal-n, ntsc Furação Vesa: 200x200mm CONEXÕES: Entrada de vídeo e áudio estéreo (rca) 3 entradas hdmi e 1 entrada hdmi (arc) Entrada rf para TV aberta (Digital e Analógica) e TV à cabo 2 entrada USB 2.0: reproduz filmes, músicas e fotos 1 entrada s/pdif out Optical 1 Saída de áudio analógica 1 entrada EthernetMenu nos idiomas Português e Inglês Busca automática de canais Recepção em atv, dtv e catv Conversor digital integrado Equalizadores de som e imagem predefinidos Ajustes de temperatura de cor Nivelador automático de volume sdr para hdr: corrige imagem para melhor performance Recursos: mute mts sleep browser app store hdr closed caption dnr guide info bloqueio de canal relógio zoom pvr hdmi ARC2 T-LINK2 (hdmi-cec).informações complementares Os produtos são novos, todos com nota fiscal; Tenha certeza de ter escolhido o modelo desejado na hora da compra. Vamos emitir a Nota Fiscal de acordo com o seu cadastro, por favor confira suas informações, e as informações de envio antes de efetuar a compra. Alguma dúvida sobre o produto? Procurando uma quantidade maior? Quer ter certeza que temos em estoque? use O campo designado A perguntas E respostas logo abaixo da descrição do anuncio",7891356090912,Smart TV Roku Led 50 Philco uhd 4K Bivolt Netflix,https://www.americanas.com.br/produto/4850707002,smart tv roku led 50 philco uhd 4k bivolt netflix,americanas,tvs,0
"PAINEL: Tecnologia LED Tamanho da Tela 32 polegadas Resolução 1366 x 768 (HD) Formato da Tela 16:9 Taxa de Contraste 1200:1 Frequência 60 Hz Analógico PAL-M/N, NTSC-M Digital lSDB-T Conversor Digital Sim Especificação Física Cor Borda Dark Iron Gray Dimensão do Produto sem base (L x A x P) 742 x 445 x 87,5 mm Peso sem base 5,1 Kg Dimensão do Produto com base (L x A x P) 742 x 472 x 180 mm Peso com base 5,15 Kg Dimensão da Embalagem (L x A x P) 818 x 518 x 143 mm Peso bruto 6,35 Kg VESA Interface de Montagem Padrão 200 x 200 mm Audio Potência de Som 10 W (5W+5W) Sistema Autofalante 2.0 (Virtual Surround Dolby Audio) Conexões Entrada 02 - HDMI (01 lateral + 01 traseiro) 01 - USB 2.0 (Lateral) 01 - RF (Antena) 01 - AV/Componente Conjugado 01 - Saída Digital Óptica 01 - RS232 Saída 01 - Fone de Ouvido Alimentação de energia: 100 ~ 240V, 50/60Hz Consumo Médio (W): 48W Itens incluídos 02 - Pilhas (comuns) 02 - Parafusos (M4xL16) 01 - Controle Remoto 01 - Cabo de Energia 01 - Manual de Instruções 01 - Guia de Conexões + Folha de Especificações 02 - Bases Simétricas",7894892024359,TV LG 32 HD USB HDMI 32LT330HBSB.AWZ,https://www.amazon.com.br/TV-LG-USB-HDMI-32LT330HBSB-AWZ/dp/B08ZBBVBP6,tv lg 32 hd usb hdmi 32lt330hbsb.awz,amazon,"Composta de bordas finas e acabamento arredondado, conta com tela LED de 32 polegadas e qualidade de imagem HD, de mais cores, brilho e contraste. Possui 2 entradas HDMI e 1 USB para conectar outros dispositivos em sua TV. O televisor LG 32LT330HBSB PRO possui conversor digital integrado para você não perder a programação favorita. Além disso, dispõe de qualidade de som Virtual Surround que traz uma experiência totalmente imersiva com os conteúdos da sua TV.",7894892024359,"TV LED 32"" LG 32LT330HBSB Modo Hotel Preta",https://www.americanas.com.br/produto/1695817665,"tv led 32"" lg 32lt330hbsb modo hotel preta",americanas,tvs,1
"Visão totalmente expansiva Design minimalista, concentração máxima. A tela com 3 lados sem borda traz uma estética limpa e moderna para qualquer ambiente de trabalho. Em um setup com vários monitores, se alinham perfeitamente para uma visualização praticamente sem espaços e sem distrações. Imagens perfeitas e suaves Agora, a imagem é reproduzida sem falhas. A taxa de atualização de 75Hz oferece cenas mais fluidas. Seu momento de diversão não tem lag ou efeito fantasma, quer você esteja assistindo a um vídeo ou jogando um jogo. Ação sincronizada Experiência de entretenimento super fluida. AMD Radeon FreeSync%u2122 mantém a taxa de atualização do monitor e da placa gráfica em sincronia para reduzir a quebra de imagem. Assista a filmes e jogue sem interrupções. Até mesmo as cenas rápidas são perfeitas e suaves.",7892509120364,SAMSUNG MONITOR 27 F27T350FHL PRETO,https://www.amazon.com.br/SAMSUNG-MONITOR-27-F27T350FHL-PRETO/dp/B098ZN8NTX,samsung monitor 27 f27t350fhl preto,amazon,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7893299915970,Smart TV OLED 55” LG OLED55C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial ThinQ Google Alexa,https://www.americanas.com.br/produto/3280458357,smart tv oled 55” lg oled55c1 4k 120hz g-sync freesync 4x hdmi 2.1 inteligência artificial thinq google alexa,americanas,tvs,0
"Tenha uma tela de cinema no conforto da sua sala com a Smart TV da Samsung. Ela traz resolução 4K, que oferece uma experiência única com imagens mais realistas para você não perder nenhum detalhe, além de frequência 60Hz e tecnologia Crystal uhd. Com a tecnologia da tela led, com 55"", ela permite uma verdadeira imersão, independente da onde se olhe e a borda ultrafina com o design sofisticado proporciona elegância ao ambiente. é para quem gosta de se sentir no cinema, 55 polegadas para toda a família assistir filmes, séries é só colocar a pipoca pra estourar e aproveitar! Características: - Resolução 4K - Tecnologia Crystal uhd - Borda ultrafina - Design sofisticado Especificações Técnicas: Marca: Samsung Modelo: LH55BEAHVGGXZD Voltagem: Bivolt Cor: Titan Gray Tamanho da tela: 55 Bluetooth: Sim Conexão: Wi-Fi Processador: Crystal 4K Resolução da Tela: 3,840 x 2,160 Sistema Operacional: Tizen Tipo de Tela: led Dolby Digital Plus: Sim Saída de som (rms): 20W Tipo de alto-falante: 2CH (10W + 10W) Áudio Bluetooth: Sim Modo de jogo: Sim Móvel para TV - Espelhamento, dlna: Sim Acesso Remoto (pc na tv): Sim WiFi Direct: Sim Som da TV para celular: Sim Espelhamento de som: sim Sistema de som dtv: Dolby Dimensões produto sem suporte: 123,05 x 70,72 x 5,99 cm Dimensões produto com suporte: 123,05 x 78,33 x 25,02 cm Dimensões embalagem: 138,6 x 84,3 x 15,8 cm Peso produto sem suporte: 13,9 Kg Peso produto com suporte: 14,2 Kg Peso embalagem: 19,5 Kg Garantia: 12 Meses Conteudo da embalagem: 01 Smart tv 01 Controle Remoto 01 Manual do Usuário 01 Cabo de Alimentação",7892509118149,Smart TV Led Crystal uhd 55'' Samsung LH55BEAH 4K tizen 3 hdmi 1 USB Titan Gray Bivolt,https://www.americanas.com.br/produto/3575962438,smart tv led crystal uhd 55'' samsung lh55beah 4k tizen 3 hdmi 1 usb titan gray bivolt,americanas,"Smart TV Led 55 Samsung LH55BETHVGGXZD uhd 4k Bluetooth, hdr, Wifi tem toda qualidade e definição que você procura! Características: Conectividade: Bluetooth Wifi Saída de Vídeo Componente: Não possui Entradas hdmi: 2 Entradas usb: 1 Saída de Áudio Óptico: 1 Quantidade de Entradas de Áudio e Vídeo Estéreo: 3 Consumo Aproximado de Energia: AC100-240V 50/60Hz Controle Remoto Utiliza: Pilhas Polegadas: 55 Pol Linha: smart Tecnologia: Wi-fi Tecnologia da Tela: led Idiomas do Menu: Português Potência: 20W rms Acessórios Compatíveis: Controle remoto Formato da tela: Widescreen Frequência: 60Hz Resolução da Tela: 4k Peso aproximado do produto sem embalagem: 13,9 kg Itens Inclusos: Controle Remoto Baterias Manual de Usuário Cabo de Força Dimensões do produto: Altura com Base:1230,5 Largura com Base:778,3 Profundidade com Base:249,7 Peso com Base:14,2 Observações: Imagem meramente ilustrativa; Verifique a voltagem do produto antes de colocar no carrinho; Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor; As cores podem sofrer variações de acordo com o tipo, configuração e resolução do seu monitor; Não nos responsabilizamos pela montagem/instalação dos produtos; Garantia do fornecedor:12 meses",7892509118149,Smart Tv 55 Polegadas Led LH55BETHVGGXZD uhd 4K Bluetooth hdr Wifi Samsung,https://www.americanas.com.br/produto/4800213661,smart tv 55 polegadas led lh55bethvggxzd uhd 4k bluetooth hdr wifi samsung,americanas,tvs,1
