categoria,descricao,ean,preco,titulo,url
/categoria/informatica/notebooks/notebooks,"O Samsung Book possui uma arquitetura de última geração e design elegante para quem busca qualidade, desempenho e proteção do investimento. Conta com portas de acesso e memoria e unidade de armazenamento, facilitando o upgrade e proporcionando mais longetividade ao sistema. A família Samsung Books traz uma variedade de configurações, atendendo aos mais diversos perfis de utilização, seja para estudo, trabalho ou geral.Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",7892509120876,"R$ 2.617,18","Notebook Samsung Intel Core i3-1115G4 4GB 1TB W11 15,6"" NP550XDA-KV2BR - Branco",https://www.americanas.com.br/produto/4133207777
/categoria/informatica/notebooks/notebooks,"Você está pronto para o novo Positivo Motion Q?O novo Positivo MOTION Q conta com design moderno, elegante e é uma evolução em termos de tecnologia. Criado para te acompanhar em qualquer lugar, ele pesa apenas 1.3kg e com 18,7 mm de espessura, sendo superfácil de transportar.Tenha mais ergonomia com um touchpad ampliado, teclas mais largas e a tecnologia Teclado UP, que ajusta o computador automaticamente para posição de digitação mais confortável.Ele conta também com a exclusiva tecla Call, com mais praticidade para suas videoconferências online, além da Webcam de alta resolução e microfone digital para captações de áudios mais nítidos.O produto possui 64GB na nuvem gratuitos por um ano para armazenar seus arquivos. Para saber mais é só conferir mais detalhes no material abaixo!",7896904683547,"R$ 1.401,57",Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho,https://www.americanas.com.br/produto/2831155071
/categoria/informatica/notebooks/notebooks,"O Samsung Book possui uma arquitetura de ultima geração e design elegante para quem busca qualidade, desempenho e proteção do investimento. Conta com portas de acesso e memoria e unidade de armazenamento, facilitando o upgrade e proporcionando mais longetividade ao sistema. A família Samsung Books traz uma variedade de configurações, atendendo aos mais diversos perfis de utilização, seja para estudo, trabalho ou geral. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",7892509120869,"R$ 2.634,06","Notebook Samsung NP550XDA-KV1BR Intel Core i3-1115G4 4GB 1TB  Tela 15,6"" W11 - Cinza Chumbo",https://www.americanas.com.br/produto/4133204023
/categoria/informatica/notebooks/notebooks,"Potência e agilidade para todas as tarefas! Desenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida. Equipado com o processador AMD estudar, trabalhar e se divertir ficam mais fácil. Assistir vídeos, filmes e séries será como estar no cinema com a tela de 15,6” HD (1366 x 768). A tecnologia Acer ComfyView™ otimiza o conforto, refletindo menos luz e garantindo uma visualização mais confortável. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",4710886091745,"R$ 2.828,55","Notebook Acer Aspire 3 A315-23-R6DJ AMD R3 8GB 1TB W10 15.6"" - Preto",https://www.americanas.com.br/produto/2947509539
/categoria/informatica/notebooks/notebooks,"O Samsung Book possui uma arquitetura de ultima geração e design elegante para quem busca qualidade, desempenho e proteção do investimento. Conta com portas de acesso e memoria e unidade de armazenamento, facilitando o upgrade e proporcionando mais longetividade ao sistema. A família Samsung Books traz uma variedade de configurações, atendendo aos mais diversos perfis de utilização, seja para estudo , trabalho ou geral.Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",7892509120838,"R$ 2.231,00","Notebook Samsung Intel Celeron-6305 NP550XDA-KP3BR 4GB 256GB SSD Tela 15,6"" Windows 11 - Cinza Chumbo",https://www.americanas.com.br/produto/4100903080
/categoria/informatica/notebooks/notebooks,"Upgrade gratuito para o Windows 11¹ quando disponível (consulte abaixo). O planejamento de implantação da atualização ainda está sendo finalizado e está programado para começar no final de 2021 e continuar durante 2022. O momento específico variará por dispositivo. Determinados recursos precisam de hardware específico, consulte o site microsoft.com para maiores informações. O Notebook Lenovo Ultrafino Ideapad 3 AMD R7-5700u é perfeito para o seu dia a dia. Completo, conta com tela ultrafina com antirreflexo de 15.6” para que você possa aproveitar o melhor, seja para o trabalho ou diversão. Conta com webcam para você fazer as suas videochamadas. Além disso, possui processsador R7-5700U que garante ótimo desempenho até mesmo para os usuários que necessitam passar mais tempo com o aparelho. Você merece ter um notebook com alta performance para as suas tarefas do dia a dia, e com toda a qualidade Lenovo. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",0196119536544,"R$ 3.674,05","Notebook Lenovo Ultrafino Ideapad 3 AMD Ryzen 7-5700u 8GB 256GB SSD W11 15,6"" - Prata",https://www.americanas.com.br/produto/4200685315
/categoria/informatica/notebooks/notebooks,,7898573297742,"R$ 3.599,99","Notebook Asus Intel Core i5-1035G1 8GB 256GB SSD W10 15,6'' Cinza X515JA-EJ592T",https://www.americanas.com.br/produto/3280458630
/categoria/informatica/notebooks/notebooks,"Os notebooks da linha Aspire 5 são convenientemente portáteis e elegantes para acompanhar suas tarefas do dia a dia. Os recursos tecnológicos de sua confiança ao seu lado sempre que precisar. Desempenho suficiente para todas as tarefas, com Processador Intel® Core™ i5 de 10ª geração. Você cria, edita, compartilha e assiste vídeos, fotos e imagens sem dificuldades. O Aspire 5 vem equipado com o sistema operacional Windows 11 que entrega um visual mais moderno e intuitivo, além de oferecer os mais diversos benefícios ao seu notebook. A placa de vídeo (GPU) NVIDIA® GeForce® MX250 traz um desempenho incrivelmente mais rápido quando comparado aos notebooks que possuem placa de vídeo com memória compartilhada. Aproxime-se da poderosa arquitetura NVIDIA® Maxwell™ para uma edição rápida e suave de fotos HD e vídeos. Ele também funciona perfeitamente com a tecnologia NVIDIA Optimus com economia de energia para permitir que você faça muito além do exigido. Com SSD 256 GB, você pode ler e gravar arquivos muito mais rápido do que em um HD tradicional. Após pouco segundos da inicialização do sistema operacional, você já tem acesso completo as funcionalidades do seu notebook. A tela de 15,6” LED FHD entrega uma experiência de imagens muito rica, perfeita para assistir seus filmes e editar seus projetos em vídeo. As tecnologias ComfyView™ otimiza a luminosidade, o contraste e a curva de cor.",4710886829348,"R$ 3.746,96","Notebook Acer Aspire 5 Intel Core I5-10210U 8GB (GeForce MX250 2GB) 256GB SSD W11 15,6” FHD IPS Prata A515-54G-55HW",https://www.americanas.com.br/produto/4651637806
/categoria/informatica/notebooks/notebooks,,7896904680508,"R$ 1.499,23","Notebook Positivo Motion Q464C Intel Atom Quad Core 4GB 64GB eMMC 14,1'' W10 - Cinza",https://www.americanas.com.br/produto/2859505618
/categoria/informatica/notebooks/notebooks,Acer Aspire 5 • Processador Intel® Core™ i7 – 10510U – 10° Geração • Sistema Operacional Linux Endless • Tela 15.6” com resolução Full HD • Design Premium com tampa em metal • 512 GB de armazenamento SSD NVMe x4 • Habilitado para upgrade,4710886931812,"R$ 4.199,99","Notebook Acer Aspire 5 Intel Core i7-10510U 8GB 512GB SSD Linux 15,6” FHD IPS Prata A515-54-76NA",https://www.americanas.com.br/produto/4638496762
